#{"t_start": 1778387410.9525952, "env_id": "None"}
r,l,t
187.420454,326,630.842997
187.351195,310,631.285871
187.501829,280,631.677204
187.490687,326,632.761652
187.573752,315,633.23946
187.496339,346,633.741969
187.392904,317,634.202659
187.490153,341,634.687382
187.413359,340,635.18546
187.36002,298,636.281753
187.56618,283,636.697351
187.463811,319,637.145736
187.465084,290,637.554574
187.413468,288,637.971169
187.481518,322,638.443615
44.892801,104,638.597565
187.487765,310,639.049827
187.438411,318,640.139922
187.472078,335,640.624314
187.555698,290,641.074277
187.397914,297,641.493457
187.586064,291,641.931809
187.591153,318,642.382218
187.38412,325,643.441272
117.650988,179,643.711191
187.486822,337,644.186268
187.574644,324,644.657033
187.57467,332,645.137476
187.470937,332,645.62009
187.395813,269,646.035103
187.581272,310,647.092319
187.33405,288,647.496025
187.516775,265,647.893061
187.523215,302,648.330814
119.62704,190,648.608089
187.51012,303,649.042199
187.532296,288,649.457898
187.555353,316,650.521888
187.571151,265,650.939957
187.517864,307,651.405804
187.530547,321,651.888248
187.249443,314,652.349388
187.468185,266,652.734259
187.533183,292,653.147199
187.484321,297,654.155691
187.329907,318,654.631096
187.482633,285,655.037462
187.529777,293,655.462491
142.896484,202,655.75435
187.501059,307,656.216888
187.541553,328,656.728613
187.533272,275,657.702621
75.733568,124,657.919051
187.312576,320,658.377329
187.488752,300,658.829238
187.555136,299,659.259767
187.269292,295,659.688503
187.424459,288,660.112076
125.171467,205,660.4036
187.446805,269,661.426097
187.280751,305,661.889149
187.495758,311,662.335902
187.505799,280,662.746574
187.503382,284,663.15701
187.491649,311,663.603732
187.429074,280,664.031375
187.461832,260,664.979411
187.446485,285,665.406181
187.419686,287,665.814639
187.512304,283,666.228541
187.476418,261,666.653454
187.335424,310,667.09633
187.540314,301,667.522777
187.546908,297,668.530904
187.572301,304,669.000131
187.361775,295,669.418268
187.248515,258,669.782861
187.469566,278,670.18386
187.507488,289,670.601843
187.452177,269,670.982953
